Description,Offense,Punishment,Cognizable,Bailable,Court
"Description of IPC Section 242
According to section 242 of Indian penal code, Whoever, fraudulently or with intent that fraud may be committed, is in possession of counterfeit coin, having known at the time when he became possessed thereof that such coin was counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 242 in Simple Words
In simple words, Section 242 of the Indian Penal Code states that if someone knowingly possesses a counterfeit coin with the intention to commit fraud, they can be imprisoned for up to three years and fined.",Repeat offenders,Imprisonment for Natural-Life or Death,Cognizable,Non-bailable,Court of Session
"Description of IPC Section 243
According to section 243 of Indian penal code, Whoever, fraudulently or with intent that fraud may be committed, is in possession of counterfeit coin, which is a counterfeit of Indian coin, having known at the time when he became possessed of it that it was counterfeit, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 243 in Simple Words
In simple words, Section 243 of the Indian Penal Code states that if someone knowingly possesses a counterfeit Indian coin with the intention to commit fraud, they can be imprisoned for up to seven years and fined.",Unnatural offences,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 244
According to section 244 of Indian penal code, Whoever, being employed in any mint lawfully established in India, does any act, or omits what he is legally bound to do, with the intention of causing any coin issued from that mint to be of a different weight or composition from the weight or composition fixed by law, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 244 in Simple Words
In simple words, Section 244 of the Indian Penal Code states that if an employee of a legally established mint in India intentionally alters the weight or composition of coins issued from that mint, they can be imprisoned for up to seven years and fined.","Theft in a building, tent or vessel",7 Years + Fine,Cognizable,Non-Bailable,Any Magistrate
"Description of IPC Section 245
According to section 245 of Indian penal code, Whoever, without lawful authority, takes out of any mint, lawfully established in India, any coining tool or instrument, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 245 in Simple Words
In simple words, Section 245 of the Indian Penal Code states that if someone unlawfully takes coining tools or instruments from a legally established mint in India, they can be imprisoned for up to seven years and fined.",Theft by clerk or servant of property in possession of master or employer,7 Years + Fine,Cognizable,Non-Bailable,Any Magistrate
"Description of IPC Section 246
According to section 246 of Indian penal code, Whoever, fraudulently or dishonestly performs on any coin any operation which diminishes the weight or alters the composition of that coin, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 246 in Simple Words
In simple words, Section 246 of the Indian Penal Code states that if someone fraudulently or dishonestly alters the weight or composition of a coin, they can be imprisoned for up to three years and fined.","Theft, after preparation having been made for causing death, or hurt, or restraint or fear of death, or of hurt or of restraint, in order to the committing of such theft, or to retiring after committing it, or to retaining property taken by it",Rigorous Imprisonment for 10 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 247
According to section 247 of Indian penal code, Whoever fraudulently or dishonestly performs on any Indian coin any operation which diminishes the weight or alters the composition of that coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 247 in Simple Words
In simple words, Section 247 of the Indian Penal Code states that if someone fraudulently or dishonestly alters the weight or composition of an Indian coin, they can be imprisoned for up to seven years and fined.",Extortion,3 Years or Fine or Both,Cognizable,Non-Bailable,Any Magistrate
"Description of IPC Section 248
According to section 248 of Indian penal code, Whoever performs on any coin any operation which alters the appearance of that coin, with the intention that the said coin shall pass as a coin of a different description, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 248 in Simple Words
In simple words, Section 248 of the Indian Penal Code states that if someone intentionally alters the appearance of a coin to make it look like a different type of coin and tries to pass it off as such, they can be imprisoned for up to three years and fined.",extortion by putting a person in fear of death or grievous hurt,10 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 249
According to section 249 of Indian penal code, Whoever performs on any Indian coin any operation which alters the appearance of that coin, with the intention that the said coin shall pass as a coin of a different description, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 249 in Simple Words
In simple words, Section 249 of the Indian Penal Code states that if someone intentionally alters the appearance of an Indian coin to make it look like a different type of coin and tries to pass it off as such, they can be imprisoned for up to seven years and fined.",Putting or attempting to put a person in fear of death or grievous hurt in order to commit extortion,7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 250
According to section 250 of Indian penal code, Whoever, having coin in his possession with respect to which the offence defined in section 246 or 248 has been committed, and having known at the time when he became possessed of such coin that such offence had been committed with respect to it, fraudulently or with intent that fraud may be committed, delivers such coin to any other person, or attempts to induce any other person to receive the same, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine.


IPC 250 in Simple Words
In simple words, Section 250 of the Indian Penal Code states that if someone knowingly possesses a coin involved in fraud and with the intent to commit fraud, gives or tries to persuade someone else to accept that coin, they can be imprisoned for up to five years and fined.

Cited by
Manoj Kumar Tiwari vs Manish Sisodia","Extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years.",10 Years + Fine.,Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 251
According to section 251 of Indian penal code, Whoever, having coin in his possession with respect to which the offence defined in section 247 or 249 has been committed, and having known at the time when he became possessed of such coin that such offence had been committed with respect to it, fraudulently or with intent that fraud may be committed, delivers such coin to any other person, or attempts to induce any other person to receive the same, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 251 in Simple Words
In simple words, Section 251 of the Indian Penal Code states that if someone knowingly possesses a fraudulent coin, and with the intent to commit fraud, gives or tries to persuade someone else to accept that coin, they can be imprisoned for up to ten years and fined.","Putting a person in fear of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years in order to commit extortion.",10 Years + Fine,Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 252
According to section 252 of Indian penal code, Whoever fraudulently or with intent that fraud may be committed, is in possession of coin with respect to which the offence defined in either of the sections 246 or 248 has been committed having known at the time of becoming possessed thereof that such offence had been committed with respect to such coin, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 252 in Simple Words
In simple words, Section 252 of the Indian Penal Code states that if someone knowingly possesses a fraudulent coin and intends to commit fraud or is aware that a fraud has already been committed with that coin, they can be imprisoned for up to three years and fined.",Robbery,Rigorous Imprisonment for 10 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 253
According to section 253 of Indian penal code, Whoever fraudulently or with intent that fraud may be committed, is in possession of coin with respect to which the offence defined in either of the sections 247 or 249 has been committed having known at the time of becoming possessed thereof, that such offence had been committed with respect to such coin, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine.


IPC 253 in Simple Words
In simple words, Section 253 of the Indian Penal Code states that if someone knowingly possesses a fraudulent coin and intends to commit fraud or is aware that a fraud has already been committed with that coin, they can be imprisoned for up to five years and fined.",Attempt to commit robbery,Rigorous Imprisonment for 7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 254
According to section 254 of Indian penal code, Whoever delivers to any other person as genuine or as a coin of a different description from what it is, or attempts to induce any person to receive as genuine, or as a different coin from what it is, any coin in respect of which he knows that any such operation as that mentioned in sections 246, 247, 248 or 249 has been performed, but in respect of which he did not, at the time when he took it into his possession, know that such operation had been performed, shall be punished with imprisonment of either description for a term which may extend to two years or with fine to an amount which may extend to ten times the value of the coin for which the altered coin is passed, or attempted to be passed.


IPC 254 in Simple Words
According to section 254 of the Indian Penal Code, anyone who knowingly passes or tries to convince others that a coin is genuine or of a different type than it actually is, and the coin has been altered, can be punished with imprisonment up to two years or fined up to ten times the value of the altered coin.",Murder in Dacoity,"Death, Imprisonment for Life, or Rigorous Imprisonment for 10 Years + Fine",Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 255
According to section 255 of Indian penal code, Whoever counterfeits, or knowingly performs any part of the process of counterfeiting, any stamp issued by Government for the purpose of revenue shall be punished with imprisonment for life or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 255 in Simple Words
According to section 255 of the Indian Penal Code, anyone who makes or assists in making fake government revenue stamps can be punished with life imprisonment or imprisonment up to ten years, and fined.","Robber or Dacoity, with attempt to cause death or grievous hurt",Rigorous Imprisonment for not less than 7 Years,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 256
According to section 256 of Indian penal code, Whoever has in his possession any instrument or material for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 256 in Simple Words
According to section 256 of the Indian Penal Code, anyone found with instruments or materials intended for making fake government revenue stamps can be punished with imprisonment up to seven years and fined.",Attempt to commit robbery or Dacoity when armed with deadly weapons,Rigorous Imprisonment for not less than 7 Years,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 257
According to section 257 of Indian penal code, Whoever makes or performs any part of the process of making, or buys, or sells, or disposes of, any instrument for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 257 in Simple Words
According to section 257 of the Indian Penal Code, anyone who makes, buys, sells, or deals with instruments meant for counterfeiting government revenue stamps can be punished with imprisonment up to seven years and fined.",Making preparation to commit Dacoity,Rigorous Imprisonment for 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 258
According to section 258 of Indian penal code, Whoever sells, or offers for sale, any stamp which he knows or has reason to believe to be a counterfeit of any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 258 in Simple Words
According to section 258 of the Indian Penal Code, if someone sells or offers a stamp that they know or believe to be fake, they can be punished with imprisonment up to seven years and fined.",Belonging to a gang of persons associated for the purpose of habitually committing Dacoity,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 259
According to section 259 of Indian penal code, Whoever has in his possession any stamp which he knows to be a counterfeit of any stamp issued by Government for the purpose of revenue, intending to use, or dispose of the same as a genuine stamp, or in order that it may be used as a genuine stamp, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 259 in Simple Words
According to section 259 of the Indian Penal Code, if someone possesses a fake stamp, knowing it's not genuine and intends to use or sell it as if it were genuine, they can be punished with imprisonment up to seven years and fined.",Belonging to a wandering gang of persons associated for the purpose of habitually committing thefts,Rigorous Imprisonment for 7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 260
According to section 260 of Indian penal code, Whoever uses as genuine any stamp, knowing it to be a counterfeit of any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.


IPC 260 in Simple Words
According to section 260 of the Indian Penal Code, if someone knowingly uses a fake stamp, pretending it's a genuine one issued by the government for revenue purposes, they can be punished with imprisonment up to seven years, or with a fine, or both.",Being one of five or more persons assembled for the purpose of committing Dacoity,Rigorous Imprisonment for 7 Years + Fine,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 261
According to section 261 of Indian penal code, Whoever, fraudulently or with intent to cause loss to the Government, removes or effaces from any substance, bearing any stamp issued by Government for the purpose of revenue, any writing or document for which such stamp has been used, or removes from any writing or document a stamp which has been used for such writing or document, in order that such stamp may be used for a different writing or document, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 261 in Simple Words
According to section 261 of the Indian Penal Code, if someone fraudulently removes or erases a revenue stamp from any substance or document, with the intention to cause loss to the government, they can be punished with imprisonment up to three years, or with a fine, or both.","Dishonest misappropriation of movable property, or converting it to oneâ€™s own use",2 Years or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 262
According to section 262 of Indian penal code, Whoever, fraudulently or with intent to cause loss to the Government, uses for any purpose a stamp issued by Government for the purpose of revenue, which he knows to have been before used, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 262 in Simple Words
According to section 262 of the Indian Penal Code, if someone knowingly uses a revenue stamp that has been used before, with the intention to cause loss to the government, they can be punished with imprisonment up to two years or with a fine or both.","Dishonest misappropriation of property, knowing that it was in possession of a deceased person at his death, and that it has not since been in the possession of any person legally entitled to it",3 Years + Fine,Non-Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 263
According to section 263 of Indian penal code, Whoever, fraudulently or with intent to cause loss to Government, erases or removes from a stamp issued by Government for the purpose of revenue, any mark, put or impressed upon such stamp for the purpose of denoting that the same has been used, or knowingly has in his possession or sells or disposes of any such stamp from which such mark has been erased or removed, or sells or disposes of any such stamp which he knows to have been used, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 263 in Simple Words
According to section 263 of the Indian Penal Code, anyone who fraudulently removes a mark from a revenue stamp or possesses, sells, or disposes of such altered stamps with the intent to cause loss to the government can be punished with imprisonment up to three years or with a fine or both.",Criminal breach of trust,3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 263A
According to section 263A of Indian penal code,
Whoever:
makes, knowingly utters, deals in or sells any fictitious stamp, or knowingly uses for any postal purpose any fictitious stamp, or
has in his possession, without lawful excuse, any fictitious stamp, or
makes or, without lawful excuse, has in his possession any die, plate, instrument or materials for making any fictitious stamp, shall be punished with fine which may extend to two hundred rupees.
Any such stamp, die, plate, instrument or materials in the possession of any person for making any fictitious stamp may be seized and, if seized shall be forfeited.
In this section “fictitious stamp” means any stamp falsely purporting to be issued by Government for the purpose of denoting a rate of postage, or any facsimile or imitation or representation, whether on paper or otherwise, of any stamp issued by Government for that purpose.
In this section and also in sections 255 to 263, both inclusive, the word “Government”, when used in connection with, or in reference to, any stamp issued for the purpose of denoting a rate of postage, shall, notwithstanding anything in section 17, be deemed to include the person or persons authorized by law to administer executive Government in any part of India, and also in any part of Her Majesty’s dominions or in any foreign country.


IPC 263A in Simple Words
Section 263A of the Indian Penal Code deals with the punishment for dealing with fictitious stamps, including making, selling, possessing, or using them, with a fine that may extend up to two hundred rupees, and allows for the seizure and forfeiture of such stamps, dies, plates, instruments, or materials used for making fictitious stamps.","Criminal breach of trust by a carrier, wharfinger, etc.",7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 264
According to section 264 of Indian penal code, Whoever, fraudulently uses any instrument for weighing which he knows to be false, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 264 in Simple Words
According to section 264 of the Indian Penal Code, anyone who knowingly uses a false weighing instrument fraudulently can be punished with imprisonment up to one year or with a fine or both.",Criminal breach of trust by a clerk or servant,7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 265
According to section 265 of Indian penal code, Whoever, fraudulently uses any false weight or false measure of length or capacity, or fraudulently uses any weight or any measure of length or capacity as a different weight or measure from what it is, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 265 in Simple Words
According to section 265 of the Indian Penal Code, anyone who fraudulently uses a false weight or measure, or uses a weight or measure in a way different from its actual value, can be punished with imprisonment up to one year or with a fine or both.","Criminal breach of trust by public servant or by banker, merchant or agent, etc.",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 266
According to section 266 of Indian penal code, Whoever is in possession of any instrument for weighing, or of any weight, or of any measure of length or capacity, which he knows to be false, intending that the same may be fraudulently used, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 266 in Simple Words
According to section 266 of the Indian Penal Code, if someone possesses a false weighing instrument, weight, or measure with the intention of using it fraudulently, they can be punished with imprisonment up to one year or with a fine or both.",,,,Non-Bailable,
"Description of IPC Section 267
According to section 267 of Indian penal code, Whoever makes, sells or disposes of any instrument for weighing, or any weight, or any measure of length or capacity which he knows to be false, in order that the same may be used as true, or knowing that the same is likely to be used as true, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 267 in Simple Words
According to section 267 of the Indian Penal Code, anyone who knowingly makes, sells, or uses false weighing instruments, weights, or measures that are intended to be used as genuine or likely to be used as such, can be punished with imprisonment up to one year or with a fine or both.",Dishonestly receiving stolen property knowing it to be stolen,3 Years or Fine or Both,Cognizable,Non-Bailable,Any Magistrate
"Description of IPC Section 269
According to section 269 of Indian penal code, Whoever unlawfully or negligently does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of any disease dangerous to life, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 269 in Simple Words
According to section 269 of the Indian Penal Code, if anyone unlawfully or negligently does an act that can spread a dangerous disease, they can be punished with imprisonment for up to six months, or with a fine, or both.","Dishonestly receiving stolen property, knowing that it was obtained by Dacoity",Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 270
According to section 270 of Indian penal code, Whoever malignantly does any act which is, and which he knows or has reason to believe to be, likely to spread the infection of any disease dangerous to life, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 270 in Simple Words
According to section 270 of the Indian Penal Code, if anyone knowingly does an act that can spread a dangerous disease, they can be punished with imprisonment for up to two years, or with a fine, or both.",Habitually dealing in stolen property,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
"Description of IPC Section 271
According to section 271 of Indian penal code, Whoever knowingly disobeys any rule made and promulgated by the Government for putting any vessel into a state of quarantine, or for regulating the intercourse of vessels in a state of quarantine with the shore or with other vessels, for regulating the intercourse between places where an infectious disease prevails and other places, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.


IPC 271 in Simple Words
According to section 271 of the Indian Penal Code, if anyone knowingly disobeys any government rule related to quarantining vessels or regulating the interaction between places with infectious diseases, they can be punished with imprisonment for up to six months, or with a fine, or both.","Assisting in concealment or disposal of stolen property, knowing it to be stolen","3 Years, or Fine, or Both",Cognizable,Non-Bailable,Any Magistrate
"Description of IPC Section 272
According to section 272 of Indian penal code, Whoever adulterates any article of food or drink, so as to make such article noxious as food or drink, intending to sell such article as food or drink, or knowing it to be likely that the same will be sold as food or drink, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 272 in Simple Words
According to section 272 of the Indian Penal Code, if anyone intentionally adulterates any food or drink item to make it harmful and intends to sell it or knows it will be sold, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.",Cheating,1 Year or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 273
According to section 273 of Indian penal code, Whoever sells, or offers or exposes for sale, as food or drink, any article which has been rendered or has become noxious, or is in a state unfit for food or drink, knowing or having reason to believe that the same is noxious as food or drink, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 273 in Simple Words
According to section 273 of the Indian Penal Code, if anyone knowingly sells or offers for sale any article as food or drink that is harmful or unfit for consumption, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.","Cheating a person whose interest the offender was bound, either by law or by legal contract, to protect",3 Years or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 274
According to section 274 of Indian penal code, Whoever adulterates any drug or medical preparation in such a manner as to lessen the efficacy or change the operation of such drug or medical preparation, or to make it noxious, intending that it shall be sold or used for, or knowing it to be likely that it will be sold or used for, any medicinal purpose, as it had not undergone such adulteration, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 274 in Simple Words
According to section 274 of the Indian Penal Code, if anyone intentionally adulterates a drug or medical preparation to reduce its effectiveness or make it harmful, with the intention of selling it for medicinal purposes, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.",Cheating by personation,3 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
"Description of IPC Section 275
According to section 275 of Indian penal code, Whoever, knowing any drug or medical preparation to have been adulterated in such a manner as to lessen its efficacy, to change its operation, or to render it noxious, sells the same, or offers or exposes it for sale, or issues it from any dispensary for medicinal purposes as unadulterated, or causes it to be used for medicinal purposes by any person not knowing of the adulteration, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 275 in Simple Words
According to section 275 of the Indian Penal Code, if anyone knowingly sells or offers adulterated drugs or medical preparations as unadulterated, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.","Cheating and there by dishonestly inducing delivery of property, or the making, alteration or destruction of a valuable security",7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
"Description of IPC Section 276
According to section 276 of Indian penal code, Whoever knowingly sells, or offers or exposes for sale, or issues from a dispensary for medicinal purposes, any drug or medical preparation, as a different drug or medical preparation, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 276 in Simple Words
According to section 276 of the Indian Penal Code, if anyone knowingly sells or offers a drug or medical preparation as a different one, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.","Fraudulent removal or concealment of property etc., to prevent distribution among creditors",2 Years or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 277
According to section 277 of Indian penal code, Whoever voluntarily corrupts or fouls the water of any public spring or reservoir, so as to render it less fit for the purpose for which it is ordinarily used, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 277 in Simple Words
According to section 277 of the Indian Penal Code, if anyone intentionally pollutes or makes impure the water of a public spring or reservoir, making it less suitable for its usual purpose, they can be punished with imprisonment for up to three months or a fine of up to five hundred rupees, or both.",Fraudulently preventing from being made available for his creditors a debt or demand due to the offender,2 Years or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 278
According to section 278 of Indian penal code, Whoever voluntarily vitiates the atmosphere in any place so as to make it noxious to the health of persons in general dwelling or carrying on business in the neighborhood or passing along a public way, shall be punished with fine which may extend to five hundred rupees.


IPC 278 in Simple Words
According to section 278 of the Indian Penal Code, if anyone intentionally pollutes the air in a way that is harmful to the health of people living or working nearby, or those passing through a public area, they can be fined up to five hundred rupees.",Fraudulent execution of deed of transfer containing a false statement of consideration,2 Years or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 279
According to section 279 of Indian penal code, Whoever drives any vehicle, or rides, on any public way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 279 in Simple Words
According to section 279 of the Indian Penal Code, if anyone drives a vehicle or rides on a public road recklessly or negligently, endangering human life or causing harm to others, they can be punished with imprisonment for up to six months, or a fine, or both.","Fraudulent removal or concealment of property of himself or any other person or assisting in the doing thereof, or dishonestly releasing any demand or claim to which he is entitled",2 Years or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 280
According to section 280 of Indian penal code, Whoever navigates any vessel in a manner so rash or negligent to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 280 in Simple Words
According to section 280 of the Indian Penal Code, if anyone navigates a vessel in a reckless or negligent manner endangering human life or causing harm to others, they can be punished with imprisonment for up to six months, or a fine, or both.",Mischief,3 Months or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 281
According to section 281 of Indian penal code, Whoever exhibits any false light, mark or buoy, intending or knowing it to be likely that such exhibition will mislead any navigator, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.


IPC 281 in Simple Words
According to section 281 of the Indian Penal Code, if anyone displays a false light, mark, or buoy with the intention to mislead navigators, they can be punished with imprisonment for up to seven years, or a fine, or both.","Mischief, and thereby causing damage to the amount of 50 rupees or upwards",2 Years or Fine or Both,Non-Cognizable,Bailable,Any Magistrate
"Description of IPC Section 282
According to section 282 of Indian penal code, Whoever knowingly or negligently conveys, or causes to be conveyed for hire, any person by water in any vessel, when that vessel is in such a state or so loaded as to endanger the life of that person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 282 in Simple Words
According to section 282 of the Indian Penal Code, if someone knowingly or negligently transports any person by water in a vessel that is in an unsafe state or overloaded, they can be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.","Mischief by killing, poisoning, maiming or rendering useless any animal of the value of 10 rupees or upwards",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
"Description of IPC Section 283
According to section 283 of Indian penal code, Whoever, by doing any act, or by omitting to take order with any property in his possession or under his charge, causes danger, obstruction or injury to any person in any public way or public line of navigation, shall be punished, with fine which may extend to two hundred rupees.


IPC 283 in Simple Words
According to section 283 of the Indian Penal Code, if someone's actions or negligence with any property under their control cause danger, obstruction, or injury to any person in a public place or waterway, they can be punished with a fine of up to two hundred rupees.

Cited by
Raj Kapoor And Ors vs State And Others
Baldeo Singh And Ors vs The State Of Bihar And Ors
Ravi Namboothiri vs K A Biju
Zorawar Singh and Anr vs Gurbax Singh Bains and Ors","Mischief by killing poisoning maiming or rendering useless any elephant, camel, horse, etc., whatever may be its value or any other animal of the value of 50 rupees or upwards",5 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 284
According to section 284 of Indian penal code, Whoever does, with any poisonous substance, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any person, or knowingly or negligently omits to take such order with any poisonous substance in his possession as is sufficient to guard against probable danger to human life from such poisonous substance, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 284 in Simple Words
According to section 284 of the Indian Penal Code, if someone handles a poisonous substance in a reckless or negligent manner, endangering human life or causing harm to others, or fails to take necessary precautions with such a substance to prevent such dangers, they can be punished with imprisonment of up to six months, a fine of up to one thousand rupees, or both.","Mischief by causing diminution of supply of water for agricultural purposes, etc.",5 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 285
According to section 285 of Indian penal code, Whoever does, with fire or any combustible matter, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any fire or any combustible matter in his possession as is sufficient to guard against any probable danger to human life from such fire or combustible matter, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 285 in Simple Words
According to section 285 of the Indian Penal Code, if someone handles fire or any combustible matter recklessly or negligently, endangering human life or causing harm to others, or fails to take necessary precautions with such materials to prevent such dangers, they can be punished with imprisonment of up to six months, a fine of up to one thousand rupees, or both.","Mischief by injury to public road, bridge, navigable river, or navigable channel and rendering it impassable or less safe for travelling or conveying property",5 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
"Description of IPC Section 286
According to section 286 of Indian penal code, Whoever does, with any explosive substance, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any explosive substance in his possession as is sufficient to guard against any probable danger to human life from that substance, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 286 in Simple Words
According to section 286 of the Indian Penal Code, if someone handles explosive substances recklessly or negligently, endangering human life or causing harm to others, or fails to take necessary precautions with such substances to prevent such dangers, they can be punished with imprisonment of up to six months, a fine of up to one thousand rupees, or both.",Mischief by causing inundation or obstruction to public drainage attended with damage,5 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
